target,used_mode,n_hits,pdb_ids_first_50
PIN1,gene_attr,4,"7Y9T,7Y9U,7Y9V,8JH5"
CCNH,gene_attr_human,1,8PYR
MNAT1,gene_attr_human,1,8PYR
NDC80,gene_attr,1,5TD8
NUF2,gene_attr,1,5TD8
AARS,none,0,
ABCF2,none,0,
ACAT1,none,0,
ADSL,none,0,
ALAD,none,0,
ALG1,none,0,
BYSL,none,0,
CARS,none,0,
CDC123,none,0,
CDC42,none,0,
CDIPT,none,0,
CIAO1,none,0,
CIAPIN1,none,0,
CMPK1,none,0,
COPG1,none,0,
CPOX,none,0,
CRCP,none,0,
CYP51A1,none,0,
DCAKD,none,0,
DCP2,none,0,
DDIT3,none,0,
DDOST,none,0,
DDX51,none,0,
DHDDS,none,0,
DHPS,none,0,
DHX15,none,0,
DIMT1,none,0,
DIS3,none,0,
DNA2,none,0,
DOLK,none,0,
DPAGT1,none,0,
DPM1,none,0,
DR1,none,0,
DUT,none,0,
EEF1B2,none,0,
EIF2B2,none,0,
EIF2S1,none,0,
EIF3G,none,0,
EIF4A3,none,0,
EIF5,none,0,
EIF5B,none,0,
EIF6,none,0,
ELAC2,none,0,
EMG1,none,0,
ERCC2,none,0,
EXOSC2,none,0,
EXOSC4,none,0,
EXOSC9,none,0,
FDX1L,none,0,
FECH,none,0,
GCH1,none,0,
GLUL,none,0,
GNL2,none,0,
GNPNAT1,none,0,
GPAA1,none,0,
GTPBP4,none,0,
HLCS,none,0,
HMBS,none,0,
HSCB,none,0,
HSPD1,none,0,
KARS,none,0,
KAT5,none,0,
KDSR,none,0,
KRR1,none,0,
LARS,none,0,
LIG1,none,0,
LSM4,none,0,
LSM5,none,0,
LSS,none,0,
MLST8,none,0,
MRPL12,none,0,
MSMO1,none,0,
MVD,none,0,
MVK,none,0,
NAF1,none,0,
NAT10,none,0,
NCS1,none,0,
NHP2,none,0,
NHP2L1,none,0,
NIP7,none,0,
NMD3,none,0,
NOL6,none,0,
NOP2,none,0,
NSDHL,none,0,
NUTF2,none,0,
OSGEP,none,0,
PAM16,none,0,
PFN4,none,0,
PGM3,none,0,
PI4KB,none,0,
PIGA,none,0,
PIGB,none,0,
PIGF,none,0,
PIGL,none,0,
PIGO,none,0,
PIGV,none,0,
PIGZ,none,0,
PINX1,none,0,
POLD2,none,0,
POLR1A,none,0,
POLR2E,none,0,
POLR2F,none,0,
POLR2G,none,0,
POLR2H,none,0,
POLR2K,none,0,
POLR2L,none,0,
POLR3D,none,0,
POLR3F,none,0,
POLR3K,none,0,
POP4,none,0,
PPCS,none,0,
PPP1R7,none,0,
PSMA1,none,0,
PSMA3,none,0,
PSMA5,none,0,
PSMA6,none,0,
PSMB2,none,0,
PSMB3,none,0,
PSMC1,none,0,
PSMC2,none,0,
PSMC3,none,0,
PSMC4,none,0,
PSMC5,none,0,
PSMC6,none,0,
PSMD1,none,0,
PSMD11,none,0,
PSMD12,none,0,
PSMD13,none,0,
PSMD14,none,0,
PSMD2,none,0,
PSMD6,none,0,
PSMD7,none,0,
QARS,none,0,
RABGGTB,none,0,
RANGAP1,none,0,
RBM28,none,0,
RBX1,none,0,
RCC1,none,0,
RFC5,none,0,
RFK,none,0,
RPF1,none,0,
RPF2,none,0,
RPIA,none,0,
RPL27A,none,0,
RPL30,none,0,
RPL5,none,0,
RPLP0,none,0,
RPN1,none,0,
RPS13,none,0,
RPS27A,none,0,
RPS5,none,0,
SARS,none,0,
SBDS,none,0,
SEC13,none,0,
SEC61G,none,0,
SHQ1,none,0,
SKIV2L2,none,0,
SLU7,none,0,
SNRPD1,none,0,
SNRPD2,none,0,
SNRPE,none,0,
SNRPF,none,0,
SNW1,none,0,
SPTLC1,none,0,
SQLE,none,0,
SRPR,none,0,
SSRP1,none,0,
STX5,none,0,
SUGT1,none,0,
SUMO1,none,0,
TAF9,none,0,
THG1L,none,0,
TIMM22,none,0,
TPI1,none,0,
TPK1,none,0,
TRAPPC1,none,0,
TRAPPC2B,none,0,
TRMT112,none,0,
TRMT5,none,0,
TRNT1,none,0,
TTC4,none,0,
TXNL4A,none,0,
TYMSOS,none,0,
UBE2I,none,0,
UBE2K,none,0,
UFD1L,none,0,
UGP2,none,0,
UTP15,none,0,
VCP,none,0,
VTI1A,none,0,
WARS,none,0,
YARS,none,0,
YIPF5,none,0,
YKT6,none,0,
ZPR1,none,0,
